truck_id,aws_ingest_ts_utc,lat,lon,gross_weight_kg,payload_kg
TRUCK-001,2026-04-01 06:58:08+00:00,-34.5583,-58.3968,11319,3845
TRUCK-001,2026-04-01 07:07:10+00:00,-34.5566,-58.3904,11341,3845
TRUCK-001,2026-04-01 07:13:02+00:00,-34.5565,-58.3925,11298,3845
TRUCK-001,2026-04-01 07:26:11+00:00,-34.5534,-58.3893,10610,3168
TRUCK-001,2026-04-01 07:42:04+00:00,-34.5497,-58.3848,10600,3168
TRUCK-001,2026-04-01 07:49:02+00:00,-34.5488,-58.3812,10650,3168
TRUCK-001,2026-04-01 07:59:07+00:00,-34.5479,-58.3836,12237,4801
TRUCK-001,2026-04-01 08:08:07+00:00,-34.5454,-58.3759,11571,4103
TRUCK-001,2026-04-01 08:22:01+00:00,-34.542,-58.3761,11536,4103
TRUCK-001,2026-04-01 08:28:05+00:00,-34.5413,-58.3764,11551,4103
TRUCK-001,2026-04-01 08:36:04+00:00,-34.536,-58.3687,11558,4103
TRUCK-001,2026-04-01 08:55:08+00:00,-34.5377,-58.3674,8562,1090
TRUCK-001,2026-04-01 09:11:11+00:00,-34.5346,-58.3697,8560,1090
TRUCK-001,2026-04-01 09:24:02+00:00,-34.5309,-58.3636,10066,2592
TRUCK-001,2026-04-01 09:45:10+00:00,-34.5266,-58.3621,10036,2592
TRUCK-001,2026-04-01 09:56:11+00:00,-34.5286,-58.362,8796,1354
TRUCK-001,2026-04-01 10:16:08+00:00,-34.5246,-58.3561,8839,1354
TRUCK-001,2026-04-01 10:26:11+00:00,-34.5246,-58.3577,8787,1354
TRUCK-001,2026-04-01 10:44:06+00:00,-34.5215,-58.3532,8799,1354
TRUCK-001,2026-04-01 10:57:06+00:00,-34.5175,-58.3489,7478,55
TRUCK-001,2026-04-01 11:11:08+00:00,-34.5173,-58.3487,8062,569
TRUCK-001,2026-04-01 11:31:11+00:00,-34.5123,-58.3471,8009,569
TRUCK-001,2026-04-01 11:51:03+00:00,-34.5124,-58.34,8006,569
TRUCK-001,2026-04-01 12:02:08+00:00,-34.5092,-58.3375,7672,209
TRUCK-001,2026-04-01 12:18:09+00:00,-34.507,-58.3352,7654,209
TRUCK-001,2026-04-01 12:30:03+00:00,-34.5082,-58.3361,7687,209
