lat,lon,bin_name
-34.8109,-58.5522,bin1
-34.8093,-58.2358,bin2
-34.8082,-58.3598,bin3
-34.8065,-58.3634,bin4
-34.8056,-58.2981,bin5
-34.8049,-58.2962,bin6
-34.8044,-58.2339,bin7
-34.8031,-58.5495,bin8
-34.803,-58.5476,bin9
-34.803,-58.2966,bin10
-34.8023,-58.2316,bin11
-34.8016,-58.2931,bin12
-34.8014,-58.2233,bin13
-34.8013,-58.2889,bin14
-34.8009,-58.3546,bin15
-34.8005,-58.2282,bin16
-34.8003,-58.3535,bin17
-34.8001,-58.2281,bin18
-34.7993,-58.3515,bin19
-34.7991,-58.5491,bin20
-34.7989,-58.2878,bin21
-34.7979,-58.3488,bin22
-34.7977,-58.2201,bin23
-34.7976,-58.5453,bin24
-34.797,-58.2868,bin25
-34.7965,-58.5437,bin26
-34.7942,-58.5394,bin27
-34.7932,-58.3472,bin28
-34.7931,-58.5395,bin29
-34.7929,-58.3466,bin30
-34.7929,-58.2206,bin31
-34.7924,-58.2784,bin32
-34.7919,-58.2152,bin33
-34.7916,-58.3375,bin34
-34.7913,-58.2117,bin35
-34.7909,-58.3415,bin36
-34.7905,-58.2807,bin37
-34.7905,-58.19,bin38
-34.7887,-58.5338,bin39
-34.7883,-58.2102,bin40
-34.7878,-58.5318,bin41
-34.7875,-58.1858,bin42
-34.7868,-58.5298,bin43
-34.7867,-58.2075,bin44
-34.7865,-58.2783,bin45
-34.7865,-58.2097,bin46
-34.785,-58.2745,bin47
-34.7849,-58.3393,bin48
-34.7846,-58.3343,bin49
-34.7841,-58.5266,bin50
-34.7841,-58.2718,bin51
-34.7836,-58.328,bin52
-34.7833,-58.5265,bin53
-34.782,-58.5229,bin54
-34.782,-58.1995,bin55
-34.7819,-58.3295,bin56
-34.7814,-58.1884,bin57
-34.7811,-58.3256,bin58
-34.7811,-58.1845,bin59
-34.7806,-58.2672,bin60
-34.7804,-58.2643,bin61
-34.7801,-58.2061,bin62
-34.7798,-58.1791,bin63
-34.7797,-58.5215,bin64
-34.778,-58.2677,bin65
-34.7776,-58.2599,bin66
-34.7776,-58.1779,bin67
-34.7773,-58.5137,bin68
-34.7766,-58.3259,bin69
-34.7765,-58.2017,bin70
-34.7755,-58.3243,bin71
-34.7755,-58.1789,bin72
-34.7744,-58.1962,bin73
-34.774,-58.5198,bin74
-34.7739,-58.5101,bin75
-34.7739,-58.1709,bin76
-34.7735,-58.174,bin77
-34.7733,-58.2584,bin78
-34.7722,-58.6615,bin79
-34.772,-58.192,bin80
-34.7713,-58.5096,bin81
-34.7709,-58.1948,bin82
-34.7707,-58.3164,bin83
-34.7705,-58.3185,bin84
-34.7702,-58.259,bin85
-34.7695,-58.2532,bin86
-34.7694,-58.6598,bin87
-34.7692,-58.5095,bin88
-34.7684,-58.254,bin89
-34.7684,-58.1927,bin90
-34.768,-58.3127,bin91
-34.7676,-58.2507,bin92
-34.7669,-58.1635,bin93
-34.7667,-58.6589,bin94
-34.7663,-58.1864,bin95
-34.7661,-58.1703,bin96
-34.766,-58.1868,bin97
-34.7657,-58.6353,bin98
-34.7653,-58.2467,bin99
-34.7652,-58.6383,bin100
-34.7652,-58.6352,bin101
-34.7648,-58.3106,bin102
-34.7647,-58.6542,bin103
-34.7647,-58.4988,bin104
-34.7645,-58.1599,bin105
-34.7644,-58.1669,bin106
-34.7636,-58.5035,bin107
-34.7631,-58.6348,bin108
-34.7626,-58.6543,bin109
-34.7622,-58.6526,bin110
-34.7622,-58.5004,bin111
