"aws_ingest_ts_utc","device_id","firmware_ver","msg_id","event_ts_utc","truck_id","stop_seq","event_type","delta_payload_kg","payload_kg","gross_weight_kg","lat","lon","speed_kmh","engine_on","battery_v","rssi_dbm","temperature_c"
"2026-04-01T06:58:08Z","rpi4-TRK-001","1.8.3","msg-00000001","2026-04-01T06:58:00Z","TRUCK-001","1","moving","0","3845","11319","-34,5583","-58,3968","50,3","1","12,69","-74","31,7"
"2026-04-01T07:07:10Z","rpi4-TRK-001","1.8.3","msg-00000002","2026-04-01T07:07:00Z","TRUCK-001","2","moving","0","3845","11341","-34,5566","-58,3904","62,5","1","12,71","-91","28,7"
"2026-04-01T07:13:02Z","rpi4-TRK-001","1.8.3","msg-00000003","2026-04-01T07:13:00Z","TRUCK-001","3","moving","0","3845","11298","-34,5565","-58,3925","52,9","1","12,64","-64","37,9"
"2026-04-01T07:26:11Z","rpi4-TRK-001","1.8.3","msg-00000004","2026-04-01T07:26:00Z","TRUCK-001","4","unloading","-677","3168","10610","-34,5534","-58,3893","0","1","12,77","-73","20,7"
"2026-04-01T07:42:04Z","rpi4-TRK-001","1.8.3","msg-00000005","2026-04-01T07:42:00Z","TRUCK-001","5","moving","0","3168","10600","-34,5497","-58,3848","70,6","1","12,38","-72","38,5"
"2026-04-01T07:49:02Z","rpi4-TRK-001","1.8.3","msg-00000006","2026-04-01T07:49:00Z","TRUCK-001","6","moving","0","3168","10650","-34,5488","-58,3812","61,8","1","12,44","-77","38,2"
"2026-04-01T07:59:07Z","rpi4-TRK-001","1.8.3","msg-00000007","2026-04-01T07:59:00Z","TRUCK-001","7","loading","1633","4801","12237","-34,5479","-58,3836","0","1","12,42","-76","34,8"
"2026-04-01T08:08:07Z","rpi4-TRK-001","1.8.3","msg-00000008","2026-04-01T08:08:00Z","TRUCK-001","8","unloading","-698","4103","11571","-34,5454","-58,3759","0","1","12,55","-83","23"
"2026-04-01T08:22:01Z","rpi4-TRK-001","1.8.3","msg-00000009","2026-04-01T08:22:00Z","TRUCK-001","9","moving","0","4103","11536","-34,542","-58,3761","34,6","1","12,5","-78","18,6"
"2026-04-01T08:28:05Z","rpi4-TRK-001","1.8.3","msg-00000010","2026-04-01T08:28:00Z","TRUCK-001","10","moving","0","4103","11551","-34,5413","-58,3764","51","1","12,6","-58","33,8"
"2026-04-01T08:36:04Z","rpi4-TRK-001","1.8.3","msg-00000011","2026-04-01T08:36:00Z","TRUCK-001","11","moving","0","4103","11558","-34,536","-58,3687","32,1","1","12,48","-86","20,4"
"2026-04-01T08:55:08Z","rpi4-TRK-001","1.8.3","msg-00000012","2026-04-01T08:55:00Z","TRUCK-001","12","unloading","-3013","1090","8562","-34,5377","-58,3674","0","1","12,48","-70","27,2"
"2026-04-01T09:11:11Z","rpi4-TRK-001","1.8.3","msg-00000013","2026-04-01T09:11:00Z","TRUCK-001","13","moving","0","1090","8560","-34,5346","-58,3697","28,9","1","12,44","-74","34,4"
"2026-04-01T09:24:02Z","rpi4-TRK-001","1.8.3","msg-00000014","2026-04-01T09:24:00Z","TRUCK-001","14","loading","1502","2592","10066","-34,5309","-58,3636","0","1","12,42","-61","40"
"2026-04-01T09:45:10Z","rpi4-TRK-001","1.8.3","msg-00000015","2026-04-01T09:45:00Z","TRUCK-001","15","moving","0","2592","10036","-34,5266","-58,3621","39,4","1","12,54","-78","29,7"
"2026-04-01T09:56:11Z","rpi4-TRK-001","1.8.3","msg-00000016","2026-04-01T09:56:00Z","TRUCK-001","16","unloading","-1238","1354","8796","-34,5286","-58,362","0","1","12,68","-82","35,7"
"2026-04-01T10:16:08Z","rpi4-TRK-001","1.8.3","msg-00000017","2026-04-01T10:16:00Z","TRUCK-001","17","moving","0","1354","8839","-34,5246","-58,3561","50,4","1","12,4","-60","35,5"
"2026-04-01T10:26:11Z","rpi4-TRK-001","1.8.3","msg-00000018","2026-04-01T10:26:00Z","TRUCK-001","18","moving","0","1354","8787","-34,5246","-58,3577","71,1","1","12,38","-74","22,4"
"2026-04-01T10:44:06Z","rpi4-TRK-001","1.8.3","msg-00000019","2026-04-01T10:44:00Z","TRUCK-001","19","moving","0","1354","8799","-34,5215","-58,3532","54,1","1","12,4","-91","38,7"
"2026-04-01T10:57:06Z","rpi4-TRK-001","1.8.3","msg-00000020","2026-04-01T10:57:00Z","TRUCK-001","20","unloading","-1299","55","7478","-34,5175","-58,3489","0","1","12,42","-84","19,8"
"2026-04-01T11:11:08Z","rpi4-TRK-001","1.8.3","msg-00000021","2026-04-01T11:11:00Z","TRUCK-001","21","loading","514","569","8062","-34,5173","-58,3487","0","1","12,48","-90","38,3"
"2026-04-01T11:31:11Z","rpi4-TRK-001","1.8.3","msg-00000022","2026-04-01T11:31:00Z","TRUCK-001","22","moving","0","569","8009","-34,5123","-58,3471","67,4","1","12,52","-86","23"
"2026-04-01T11:51:03Z","rpi4-TRK-001","1.8.3","msg-00000023","2026-04-01T11:51:00Z","TRUCK-001","23","moving","0","569","8006","-34,5124","-58,34","71,5","1","12,5","-72","38,2"
"2026-04-01T12:02:08Z","rpi4-TRK-001","1.8.3","msg-00000024","2026-04-01T12:02:00Z","TRUCK-001","24","unloading","-360","209","7672","-34,5092","-58,3375","0","1","12,62","-95","32,9"
"2026-04-01T12:18:09Z","rpi4-TRK-001","1.8.3","msg-00000025","2026-04-01T12:18:00Z","TRUCK-001","25","moving","0","209","7654","-34,507","-58,3352","79,8","1","12,42","-65","19,4"
"2026-04-01T12:30:03Z","rpi4-TRK-001","1.8.3","msg-00000026","2026-04-01T12:30:00Z","TRUCK-001","26","moving","0","209","7687","-34,5082","-58,3361","63,6","1","12,47","-65","25,3"
"2026-04-01T12:37:05Z","rpi4-TRK-001","1.8.3","msg-00000027","2026-04-01T12:37:00Z","TRUCK-001","27","moving","0","209","7643","-34,503","-58,3349","53,1","1","12,58","-64","25,1"
"2026-04-01T12:47:08Z","rpi4-TRK-001","1.8.3","msg-00000028","2026-04-01T12:47:00Z","TRUCK-001","28","unloading","-205","4","7435","-34,4999","-58,3307","0","1","12,35","-92","38,5"
